BytesSend, SgAveragePower, SgTransferTime, SgTotalEnergy
198.0,20.911100,166.330000,3445.725546
200.0,20.911100,168.010000,3480.528762
42.0,20.911100,35.290000,731.074698
407.0,20.911100,341.890000,7082.661618
216.0,20.911100,181.450000,3758.954490
511.0,20.911100,429.250000,8892.428850
495.0,20.911100,415.810000,8614.003122
426.0,20.911100,357.850000,7413.292170
296.0,20.911100,248.650000,5151.083130
496.0,20.911100,416.650000,8631.404730
81.0,20.911100,68.050000,1409.737410
291.0,20.911100,244.450000,5064.075090
402.0,20.911100,337.690000,6995.653578
420.0,20.911100,352.810000,7308.882522
82.0,20.911100,68.890000,1427.139018
409.0,20.911100,343.570000,7117.464834
215.0,20.911100,180.610000,3741.552882
135.0,20.911100,113.410000,2349.424242
281.0,20.911100,236.050000,4890.059010
271.0,20.911100,227.650000,4716.042930
187.0,20.911100,157.090000,3254.307858
126.0,20.911100,105.850000,2192.809770
355.0,20.911100,298.210000,6177.778002
491.0,20.911100,412.450000,8544.396690
354.0,20.911100,297.370000,6160.376394
297.0,20.911100,249.490000,5168.484738
447.0,20.911100,375.490000,7778.725938
493.0,20.911100,414.130000,8579.199906
93.0,20.911100,78.130000,1618.556706
334.0,20.911100,280.570000,5812.344234
391.0,20.911100,328.450000,6804.235890
142.0,20.911100,119.290000,2471.235498
253.0,20.911100,212.530000,4402.813986
25.0,20.911100,21.010000,435.247362
196.0,20.911100,164.650000,3410.922330
470.0,20.911100,394.810000,8178.962922
214.0,20.911100,179.770000,3724.151274
63.0,20.911100,52.930000,1096.508466
133.0,20.911100,111.730000,2314.621026
255.0,20.911100,214.210000,4437.617202
