DataSize, ElaspedTimesg, ElapsedSecsg, PeakMemsg
80,0:00.03,0.03,28352
80,0:00.03,0.03,28516
80,0:00.03,0.03,28348
80,0:00.03,0.03,28196
80,0:00.03,0.03,28392
80,0:00.03,0.03,28104
80,0:00.03,0.03,28612
80,0:00.03,0.03,28580
80,0:00.03,0.03,28584
84,0:00.03,0.03,28200
84,0:00.03,0.03,28244
84,0:00.03,0.03,28304
84,0:00.03,0.03,28584
84,0:00.03,0.03,28460
84,0:00.03,0.03,28184
84,0:00.03,0.03,28564
84,0:00.03,0.03,28504
84,0:00.03,0.03,28268
84,0:00.03,0.03,28348
88,0:00.03,0.03,28480
88,0:00.03,0.03,28268
88,0:00.03,0.03,28460
88,0:00.03,0.03,28388
88,0:00.03,0.03,28588
88,0:00.03,0.03,28504
88,0:00.03,0.03,28136
88,0:00.03,0.03,28132
88,0:00.03,0.03,28104
88,0:00.03,0.03,28580
90,0:00.03,0.03,28464
90,0:00.03,0.03,28508
90,0:00.03,0.03,28352
90,0:00.03,0.03,28272
90,0:00.03,0.03,28196
90,0:00.03,0.03,28476
90,0:00.03,0.03,28460
90,0:00.03,0.03,28120
90,0:00.03,0.03,28272
90,0:00.03,0.03,28100
94,0:00.03,0.03,28184
94,0:00.03,0.03,28472
94,0:00.03,0.03,28504
94,0:00.03,0.03,28184
94,0:00.03,0.03,28560
94,0:00.03,0.03,28348
94,0:00.03,0.03,28504
94,0:00.03,0.03,28504
94,0:00.03,0.03,28208
94,0:00.03,0.03,28580
98,0:00.03,0.03,28504
98,0:00.03,0.03,28272
98,0:00.03,0.03,28304
98,0:00.03,0.03,28500
98,0:00.03,0.03,28240
98,0:00.03,0.03,28172
98,0:00.03,0.03,28184
98,0:00.03,0.03,28196
98,0:00.03,0.03,28464
98,0:00.03,0.03,28520
102,0:00.03,0.03,28512
102,0:00.03,0.03,28472
102,0:00.03,0.03,28460
102,0:00.03,0.03,28104
102,0:00.03,0.03,28420
102,0:00.03,0.03,28328
102,0:00.03,0.03,28284
102,0:00.03,0.03,28564
102,0:00.03,0.03,28288
102,0:00.03,0.03,28484
110,0:00.03,0.03,28268
110,0:00.03,0.03,28268
110,0:00.03,0.03,28504
110,0:00.03,0.03,28488
110,0:00.03,0.03,28100
110,0:00.03,0.03,28244
110,0:00.03,0.03,28580
110,0:00.03,0.03,28512
110,0:00.03,0.03,28556
110,0:00.03,0.03,28136
112,0:00.03,0.03,28312
112,0:00.03,0.03,28328
112,0:00.03,0.03,28564
112,0:00.03,0.03,28196
112,0:00.03,0.03,28332
112,0:00.03,0.03,28272
112,0:00.03,0.03,28472
112,0:00.03,0.03,28560
112,0:00.03,0.03,28560
112,0:00.03,0.03,28100
