0.01,1,10,1000
1-Packet,0.412086,0.412086,0.412086,0.412086
10-Packets,0.412086,0.417947,0.484773,7.78323
100-Packets,0.412086,0.496158,1.22618,15.9754
1000-Packets,0.419155,1.26353,8.62847,15.9754
