BytesSend,AveragePower,TotalTimeTaken,TotalEnergy
198.0,20.7189078064,165.218343,3423.14361654
200.0,20.7189699521,166.886011,3457.70624733
42.0,20.6956770982,35.139806,727.242078268
407.0,20.7221292636,339.490261,7034.96107218
216.0,20.7194301248,180.227392,3734.20885512
511.0,20.7227509912,426.209285,8832.22888319
495.0,20.7226723783,412.867905,8555.72633083
426.0,20.7222655692,355.333177,7363.30845932
296.0,20.7209842681,246.934363,5116.72305097
496.0,20.722677293,413.701739,8573.00763287
81.0,20.7098635155,67.659406,1401.2170638
291.0,20.7209124176,242.765192,5030.31628148
402.0,20.7220914865,335.32109,6948.55430433
420.0,20.7222239047,350.330139,7259.61958091
82.0,20.7100432117,68.493274,1418.49866425
409.0,20.7221443142,341.157929,7069.52383866
215.0,20.7194028707,179.393558,3716.92740061
135.0,20.7159814996,112.686587,2334.41325154
281.0,20.7207603114,234.426783,4857.50118111
271.0,20.7205969704,226.088441,4684.68746562
187.0,20.7185378725,156.046133,3233.04771641
126.0,20.7153253327,105.18208,2178.88100637
355.0,20.7216820361,296.130748,6136.32720118
491.0,20.722651874,409.532568,8486.60083773
354.0,20.7216719438,295.29688,6119.04507338
297.0,20.7209986279,247.768163,5134.00376557
447.0,20.7224025613,372.843729,7726.21784481
493.0,20.7226620425,411.200236,8521.16352244
93.0,20.7118356499,77.665484,1608.59474028
334.0,20.721462103,278.620163,5773.41714873
391.0,20.7220042005,326.14888,6758.45846135
142.0,20.7164355546,118.523494,2455.38432516
253.0,20.720271009,211.079392,4373.62220665
25.0,20.6757935714,20.964557,433.458852848
196.0,20.7188437653,163.550675,3388.58088303
470.0,20.7225388216,392.021949,8123.69005706
214.0,20.7193767357,178.559724,3699.64619138
63.0,20.7055012334,52.650357,1090.1520318
133.0,20.7158446646,111.018952,2299.85136445
255.0,20.7203091187,212.74706,4408.18484729
