BytesSend,AveragePower,TotalTimeTaken,TotalEnergy
196.0,62.1563373207,163.824604,10182.7373477
200.0,62.1567165072,167.159941,10390.1130641
84.0,62.1311070972,70.434906,4376.19868807
214.0,62.1579349734,178.833687,11115.9326876
232.0,62.1592850142,193.84277,12049.1279884
222.0,62.1585605228,185.504361,11530.6840505
190.0,62.15573774,158.821532,9871.66949046
52.0,62.1041558219,43.752077,2717.18580754
192.0,62.1559422118,160.489268,9975.36166743
192.0,62.1559422118,160.489268,9975.36166743
162.0,62.1523550553,135.474107,8420.03479907
182.0,62.1548764126,152.150926,9456.92200159
204.0,62.1570821701,170.495345,10597.4931688
40.0,62.08298,33.746067,2095.05640264
164.0,62.1526347794,137.141843,8523.72688096
218.0,62.1582534852,182.169024,11323.3083709
230.0,62.1591449532,192.175034,11945.4357948
70.0,62.1223268707,58.76116,3650.37998882
162.0,62.1523550553,135.474107,8420.03479907
142.0,62.1491236111,118.797424,7383.15578886
174.0,62.1539379725,145.480185,9042.16639472
52.0,62.1041558219,43.752077,2717.18580754
110.0,62.1415250136,92.114595,5724.14140931
182.0,62.1548764126,152.150926,9456.92200159
108.0,62.140896628,90.446927,5620.45314102
194.0,62.1561409063,162.156936,10079.0493629
94.0,62.1357938452,78.773248,4894.63829824
186.0,62.155317074,155.486262,9664.29791525
186.0,62.155317074,155.486262,9664.29791525
68.0,62.1207607706,57.093492,3546.69115809
182.0,62.1548764126,152.150926,9456.92200159
84.0,62.1311070972,70.434906,4376.19868807
106.0,62.1402524775,88.779258,5516.76550688
50.0,62.1012997625,42.084409,2613.49649864
192.0,62.1559422118,160.489268,9975.36166743
140.0,62.1487511737,117.129755,7279.46799853
228.0,62.1590020205,190.507366,11841.7477481
126.0,62.145805782,105.456009,6553.64865386
66.0,62.1191293057,55.425756,3442.99970383
110.0,62.1415250136,92.114595,5724.14140931
