BytesSend, SgAveragePower, SgTransferTime, SgTotalEnergy
396.0,21.057275,332.650000,6891.243930
400.0,21.057275,336.010000,6960.850362
84.0,21.057275,70.570000,1461.942234
814.0,21.057275,683.770000,14165.116074
432.0,21.057275,362.890000,7517.701818
1022.0,21.057275,858.490000,17784.650538
990.0,21.057275,831.610000,17227.799082
852.0,21.057275,715.690000,14826.377178
592.0,21.057275,497.290000,10301.959098
992.0,21.057275,833.290000,17262.602298
162.0,21.057275,136.090000,2819.267658
582.0,21.057275,488.890000,10127.943018
804.0,21.057275,675.370000,13991.099994
840.0,21.057275,705.610000,14617.557882
164.0,21.057275,137.770000,2854.070874
818.0,21.057275,687.130000,14234.722506
430.0,21.057275,361.210000,7482.898602
270.0,21.057275,226.810000,4698.641322
562.0,21.057275,472.090000,9779.910858
542.0,21.057275,455.290000,9431.878698
374.0,21.057275,314.170000,6508.408554
252.0,21.057275,211.690000,4385.412378
710.0,21.057275,596.410000,12355.348842
982.0,21.057275,824.890000,17088.586218
708.0,21.057275,594.730000,12320.545626
594.0,21.057275,498.970000,10336.762314
894.0,21.057275,750.970000,15557.244714
986.0,21.057275,828.250000,17158.192650
186.0,21.057275,156.250000,3236.906250
668.0,21.057275,561.130000,11624.481306
782.0,21.057275,656.890000,13608.264618
284.0,21.057275,238.570000,4942.263834
506.0,21.057275,425.050000,8805.420810
50.0,21.057275,42.010000,870.287562
392.0,21.057275,329.290000,6821.637498
940.0,21.057275,789.610000,16357.718682
428.0,21.057275,359.530000,7448.095386
126.0,21.057275,105.850000,2192.809770
266.0,21.057275,223.450000,4629.034890
510.0,21.057275,428.410000,8875.027242
