LinkSize, ElaspedTimesg, ElapsedSecsg, PeakMemsg, AvgTotalMemsg
0,0:00.10,0.10,28276,0
0,0:00.03,0.03,28392,0
0,0:00.03,0.03,28480,0
2,0:00.03,0.03,28436,0
2,0:00.03,0.03,28456,0
2,0:00.03,0.03,28372,0
4,0:00.03,0.03,28480,0
4,0:00.03,0.03,28444,0
4,0:00.03,0.03,28176,0
6,0:00.03,0.03,28332,0
6,0:00.03,0.03,28440,0
6,0:00.03,0.03,28396,0
8,0:00.03,0.03,28440,0
8,0:00.03,0.03,28212,0
8,0:00.03,0.03,28504,0
10,0:00.03,0.03,28432,0
10,0:00.03,0.03,28496,0
10,0:00.03,0.03,28212,0
