BytesSend, SgAveragePower, SgTransferTime, SgTotalEnergy
196.0,63.171825,16.494000,1025.079008
200.0,63.171825,16.830000,1045.960938
84.0,63.171825,7.086000,440.384980
214.0,63.171825,18.006000,1119.047692
232.0,63.171825,19.518000,1213.016375
222.0,63.171825,18.678000,1160.811551
190.0,63.171825,15.990000,993.756114
52.0,63.171825,4.398000,273.329543
192.0,63.171825,16.158000,1004.197079
192.0,63.171825,16.158000,1004.197079
162.0,63.171825,13.638000,847.582607
182.0,63.171825,15.318000,951.992255
204.0,63.171825,17.166000,1066.842868
40.0,63.171825,3.390000,210.683754
164.0,63.171825,13.806000,858.023572
218.0,63.171825,18.342000,1139.929621
230.0,63.171825,19.350000,1202.575410
70.0,63.171825,5.910000,367.298226
162.0,63.171825,13.638000,847.582607
142.0,63.171825,11.958000,743.172959
174.0,63.171825,14.646000,910.228396
52.0,63.171825,4.398000,273.329543
110.0,63.171825,9.270000,576.117522
182.0,63.171825,15.318000,951.992255
108.0,63.171825,9.102000,565.676557
194.0,63.171825,16.326000,1014.638044
94.0,63.171825,7.926000,492.589804
186.0,63.171825,15.654000,972.874184
186.0,63.171825,15.654000,972.874184
68.0,63.171825,5.742000,356.857261
182.0,63.171825,15.318000,951.992255
84.0,63.171825,7.086000,440.384980
106.0,63.171825,8.934000,555.235592
50.0,63.171825,4.230000,262.888578
192.0,63.171825,16.158000,1004.197079
140.0,63.171825,11.790000,732.731994
228.0,63.171825,19.182000,1192.134445
126.0,63.171825,10.614000,659.645240
66.0,63.171825,5.574000,346.416296
110.0,63.171825,9.270000,576.117522
