BytesSend,AveragePower,TotalTimeTaken,TotalEnergy
196.0,62.1762534577,45.515069,2829.95646629
200.0,62.1776351991,46.4218,2886.39774569
84.0,62.0861760101,19.781295,1228.14496308
214.0,62.1820140845,49.669355,3088.54053218
232.0,62.1868869081,53.82364,3347.12461366
222.0,62.1843023301,51.482815,3201.42293276
190.0,62.1740998867,44.130305,2743.7619911
52.0,61.9920610442,12.428786,770.486060417
192.0,62.1748155655,44.608339,2773.51525001
192.0,62.1748155655,44.608339,2773.51525001
162.0,62.1618986755,37.73386,2345.60838196
182.0,62.1709770956,42.316848,2630.87978777
204.0,62.1789342827,47.377864,2945.90509211
40.0,61.9201242268,9.659264,598.102826819
164.0,62.1629089005,38.162563,2372.29592718
218.0,62.1831795455,50.576085,3144.98177426
230.0,62.1863934396,53.345606,3317.37084299
70.0,62.0553542169,16.583071,1029.06834491
162.0,62.1618986755,37.73386,2345.60838196
142.0,62.1503022624,33.101547,2057.2711514
174.0,62.1675985185,40.454054,2514.93138752
52.0,61.9920610442,12.428786,770.486060417
110.0,62.123047767,25.749038,1599.60871763
182.0,62.1709770956,42.316848,2630.87978777
108.0,62.1209426036,25.320338,1572.9232636
194.0,62.1755403548,45.08637,2803.26941738
94.0,62.1027572398,22.072786,1370.78087056
186.0,62.1725712139,43.223579,2687.3210435
186.0,62.1725712139,43.223579,2687.3210435
68.0,62.0500009288,16.10504,999.317746958
182.0,62.1709770956,42.316848,2630.87978777
84.0,62.0861760101,19.781295,1228.14496308
106.0,62.1185716298,24.842308,1543.16868895
50.0,61.9824816667,11.950755,740.73745269
192.0,62.1748155655,44.608339,2773.51525001
140.0,62.1489622324,32.672848,2030.58359638
228.0,62.1858888469,52.867576,3287.61720474
126.0,62.1384081494,29.425293,1828.44086635
66.0,62.0439971246,15.627006,969.56191533
110.0,62.123047767,25.749038,1599.60871763
