TrafficSend, SgAveragePower, SgTransferTime, SgTotalEnergy
160.0,21.463545,14.115870,302.976614
111.0,21.463545,9.872571,211.900376
189.0,21.463545,16.627210,356.878878
83.0,21.463545,7.447829,159.856811
154.0,21.472238,13.596282,291.942616
134.0,21.463545,11.864324,254.650447
84.0,21.463545,7.534427,161.715509
153.0,21.463545,13.509685,289.965723
112.0,21.463545,9.959169,213.759074
114.0,21.463545,10.132365,217.476472
75.0,21.463545,6.755045,144.987221
108.0,21.463545,9.612777,206.324279
113.0,21.463545,10.045767,215.617773
102.0,21.463545,9.093190,195.172087
89.0,21.463545,7.967416,171.009003
95.0,21.463545,8.487004,182.161196
40.0,21.463545,3.724118,79.932764
128.0,21.463545,11.344736,243.498254
139.0,21.463545,12.297313,263.943941
50.0,21.463545,4.590097,98.519752
86.0,21.463545,7.707623,165.432907
121.0,21.463545,10.738551,230.487363
83.0,21.463545,7.447829,159.856811
110.0,21.463545,9.785973,210.041677
101.0,21.463545,9.006592,193.313388
40.0,21.463545,3.724118,79.932764
145.0,21.463545,12.816901,275.096133
112.0,21.463545,9.959169,213.759074
53.0,21.463545,4.849891,104.095848
90.0,21.472238,8.054014,172.937716
143.0,21.463545,12.643705,271.378736
130.0,21.463545,11.517932,247.215652
95.0,21.463545,8.487004,182.161196
155.0,21.463545,13.682880,293.683121
162.0,21.463545,14.289066,306.694012
78.0,21.463545,7.014839,150.563317
87.0,21.463545,7.794221,167.291606
55.0,21.463545,5.023087,107.813246
119.0,21.463545,10.565355,226.769966
80.0,21.463545,7.188035,154.280714
