BytesSend, SgAveragePower, SgTransferTime, SgTotalEnergy
98.0,63.902700,82.350000,5262.387345
100.0,63.902700,84.030000,5369.743881
142.0,63.902700,119.310000,7624.231137
107.0,63.902700,89.910000,5745.491757
116.0,63.902700,97.470000,6228.596169
111.0,63.902700,93.270000,5960.204829
95.0,63.902700,79.830000,5101.352541
126.0,63.902700,105.870000,6765.378849
96.0,63.902700,80.670000,5155.030809
96.0,63.902700,80.670000,5155.030809
181.0,63.902700,152.070000,9717.683589
191.0,63.902700,160.470000,10254.466269
102.0,63.902700,85.710000,5477.100417
120.0,63.902700,100.830000,6443.309241
182.0,63.902700,152.910000,9771.361857
109.0,63.902700,91.590000,5852.848293
215.0,63.902700,180.630000,11542.744701
181.0,63.902700,152.070000,9717.683589
171.0,63.902700,143.670000,9180.900909
187.0,63.902700,157.110000,10039.753197
126.0,63.902700,105.870000,6765.378849
55.0,63.902700,46.230000,2954.221821
191.0,63.902700,160.470000,10254.466269
154.0,63.902700,129.390000,8268.370353
97.0,63.902700,81.510000,5208.709077
47.0,63.902700,39.510000,2524.795677
193.0,63.902700,162.150000,10361.822805
93.0,63.902700,78.150000,4993.996005
134.0,63.902700,112.590000,7194.804993
91.0,63.902700,76.470000,4886.639469
42.0,63.902700,35.310000,2256.404337
153.0,63.902700,128.550000,8214.692085
125.0,63.902700,105.030000,6711.700581
196.0,63.902700,164.670000,10522.857609
170.0,63.902700,142.830000,9127.222641
214.0,63.902700,179.790000,11489.066433
63.0,63.902700,52.950000,3383.647965
33.0,63.902700,27.750000,1773.299925
155.0,63.902700,130.230000,8322.048621
