Traffic, SG_AVG_PWR, SG_TR_TIME, SG_TOTAL_ENERGY
351.0,62.318422,223.778696,13945.535262
445.0,62.318422,268.961661,16761.266352
136.0,62.320238,107.320110,6688.214720
321.0,62.318422,209.358601,13046.897680
257.0,62.318422,178.595731,11129.804172
564.0,62.318422,326.161372,20325.862094
484.0,62.318422,287.707785,17929.495209
500.0,62.320238,282.283931,17592.001657
198.0,62.320238,137.121640,8545.453154
112.0,62.320238,95.784033,5969.283713
473.0,62.318422,282.420416,17599.994762
363.0,62.318422,229.546734,14304.990295
318.0,62.318422,207.916591,12957.033922
441.0,62.318422,267.038981,16641.448008
330.0,62.318422,213.684629,13316.488954
49.0,62.318422,78.616404,4899.250270
434.0,62.318422,263.674293,16431.765905
464.0,62.318422,278.094388,17330.403487
785.0,62.318422,432.389406,26945.825614
717.0,62.318422,399.703857,24908.913762
506.0,62.318422,298.282521,18588.496102
540.0,62.318422,314.625296,19606.952028
529.0,62.318422,309.337927,19277.451582
461.0,62.318422,276.652378,17240.539729
401.0,62.318422,247.812188,15443.264565
415.0,62.318422,254.541566,15862.628770
292.0,62.318422,195.419175,12178.214684
244.0,62.318422,172.347023,10740.394553
550.0,62.320238,306.317423,19089.774587
495.0,62.318422,292.995153,18258.995655
506.0,62.318422,298.282521,18588.496102
153.0,62.318422,128.606067,8014.527221
514.0,62.318422,302.127880,18828.132791
391.0,62.320238,229.890919,14326.856667
684.0,62.318422,383.841753,23920.412422
839.0,62.318422,458.345578,28563.373262
191.0,62.318422,146.871521,9152.801491
220.0,62.318422,160.810947,10021.484487
525.0,62.318422,307.415248,19157.633237
817.0,62.318422,447.770841,27904.372369
