Traffic,Average_Power,Transfer_Time,Total_Energy
35.0,62.19374375,16.500934,1026.25486083
316.0,62.19374375,145.088326,9023.58616836
704.0,62.19374375,322.758266,20073.5448888
241.0,62.19374375,110.766357,6888.97442338
74.0,62.19374375,34.322018,2134.61479247
562.0,62.19374375,257.714674,16028.2403954
59.0,62.19374375,27.48157,1709.18172243
762.0,62.19374375,349.279836,21723.0206172
551.0,62.19374375,252.674399,15714.7668236
706.0,62.19374375,323.658353,20129.524669
167.0,62.19374375,76.924363,4784.21412055
397.0,62.19374375,182.170421,11329.8604825
623.0,62.19374375,285.676171,17767.2705747
861.0,62.19374375,394.582441,24540.5592238
259.0,62.19374375,119.046733,7403.96200648
741.0,62.19374375,339.679263,21125.9250402
112.0,62.19374375,51.722991,3216.84644824
86.0,62.19374375,39.842268,2477.93980641
569.0,62.19374375,260.954775,16229.7544067
543.0,62.19374375,249.014187,15487.1245364
619.0,62.19374375,283.816133,17651.5878479
854.0,62.19374375,391.402206,24342.7685031
28.0,62.1931785714,13.260833,824.733354775
835.0,58.9162157895,382.701719,22547.3370596
636.0,62.19374375,291.616533,18136.7239267
182.0,62.19374375,83.764811,5209.6471906
603.0,62.19374375,276.495709,17196.3032735
338.0,62.19374375,155.168875,9650.53324973
694.0,62.19374375,318.138102,19786.1995929
636.0,62.19374375,291.616533,18136.7239267
5.0,62.1748666667,2.760173,171.613388252
44.0,60.1022166667,20.581257,1236.97916749
671.0,62.19374375,307.637443,19133.1242978
263.0,62.19374375,120.846906,7515.92150474
3.0,62.16345,1.800221,111.907948122
961.0,60.1683451613,440.365023,26496.0347008
324.0,62.19374375,148.748538,9251.22845556
461.0,62.19374375,211.511982,13154.7220086
293.0,62.19374375,134.587667,8370.51087331
424.0,62.19374375,194.53112,12098.6186287
