Traffic,Average_Power,Transfer_Time,Total_Energy
351.0,62.2031068493,145.088464,9024.9532288
445.0,62.2392873874,110.766495,6894.0277152
136.0,62.23642,34.322018,2136.0795275
321.0,62.2086380165,120.367068,7487.87136232
257.0,62.2096073684,94.745585,5894.08564274
564.0,62.2184939891,182.170559,11334.3778301
484.0,62.2145554217,165.729538,10310.7895269
500.0,62.2432,119.046733,7409.84961147
198.0,62.2343788462,51.722991,3218.94821695
112.0,62.2256151515,32.041869,1993.82500913
473.0,62.2142993865,162.489437,10109.1664807
363.0,62.2018103896,153.788951,9565.95117012
318.0,62.2341107143,83.764949,5213.03711004
441.0,62.2126955128,155.169013,9653.48255879
330.0,62.2317122222,89.285062,5556.36228413
49.0,62.2002142857,20.581395,1280.1671793
434.0,62.2296826446,120.847044,7520.27319666
464.0,62.1981254717,211.51212,13155.6573785
785.0,62.2325504717,211.51212,13162.9386833
717.0,62.2319312821,194.531258,12106.0558801
506.0,62.2389322835,126.367294,7864.96545411
540.0,62.2258974684,157.929139,9827.28241068
529.0,62.206623301,205.991731,12814.0500134
461.0,62.2148037975,157.029052,9769.53166068
401.0,62.2236702479,120.367068,7489.68074794
415.0,62.2139090278,143.288291,8914.52470102
292.0,62.2282493976,82.384886,5126.6672326
244.0,62.2166358025,80.584713,5013.70973997
550.0,62.245903125,127.687492,7948.02325731
495.0,62.2150597633,168.009688,10452.7327797
506.0,62.2361312977,130.447617,8118.55501909
153.0,62.2035190476,62.223788,3870.53858207
514.0,62.2233358974,155.169013,9655.13361677
391.0,62.2419157895,94.325474,5870.99820951
684.0,62.2310191489,187.69081,11680.1903912
839.0,62.2324792952,226.152829,14074.0512483
191.0,62.2244263158,56.283289,3502.19536919
220.0,62.199985567,96.125647,5979.01385602
525.0,62.2077348259,200.531484,12474.6093809
817.0,62.2306176991,225.252743,14017.6173353
