Traffic,Average_Power,Transfer_Time,Total_Energy
351.0,20.7700489796,48.362997,1004.50181649
445.0,20.8059972973,36.922321,768.205710936
136.0,20.8001833333,11.440726,237.969198266
321.0,20.7753097561,40.122532,833.558030499
257.0,20.77609375,31.582015,656.150904454
564.0,20.7855918033,60.723694,1262.17791627
484.0,20.7814125,55.243293,1148.03365969
500.0,20.809985,39.682247,825.786964836
198.0,20.7988111111,17.241043,358.593196716
112.0,20.7902363636,10.680663,222.05350829
473.0,20.7811454545,54.163314,1125.57570653
363.0,20.7687865385,51.263155,1064.67352348
318.0,20.8005357143,27.921793,580.788252503
441.0,20.7797019231,51.723166,1074.791972
330.0,20.79822,29.761698,618.990342578
49.0,20.7631142857,6.860621,142.447857894
434.0,20.7959853659,40.28249,837.71407254
464.0,20.7653239437,70.504148,1464.04147259
785.0,20.7995394366,70.504148,1466.45380677
717.0,20.7990446154,64.843926,1348.69170991
506.0,20.8051395349,42.122533,876.365176628
540.0,20.7927207547,52.643187,1094.59508693
529.0,20.7737536232,68.663968,1426.40835402
461.0,20.7817245283,52.343134,1087.78059174
401.0,20.7900780488,40.122532,834.150571795
415.0,20.7808604167,47.762892,992.553991748
292.0,20.7943214286,27.461783,571.049142704
244.0,20.7830444444,26.861677,558.267426943
550.0,20.8123581395,42.56268,885.829739538
495.0,20.7819245614,56.003356,1163.85751958
506.0,20.8027,43.482701,904.557584093
153.0,20.7695904762,20.741445,430.791318534
514.0,20.7903269231,51.723166,1075.34153064
391.0,20.808021875,31.44192,654.244159152
684.0,20.7979365079,62.563736,1301.19660903
839.0,20.7995105263,75.384306,1567.95666617
191.0,20.7903052632,18.761169,390.050430604
220.0,20.7666060606,32.042026,665.404131326
525.0,20.7748955224,66.843926,1388.67557896
817.0,20.7975184211,75.084253,1561.5661349
