BytesSend,AveragePower,TotalTimeTaken,TotalEnergy
396.0,20.7220448077,330.297984,6844.44962436
400.0,20.7220763375,333.63332,6913.57512576
84.0,20.7104014968,70.140909,1452.64638674
814.0,20.7236567651,678.841819,14068.0848548
432.0,20.7223065769,360.316082,7466.5803158
1022.0,20.7239676405,852.279868,17662.6204051
990.0,20.7239282946,825.597107,17109.6152457
852.0,20.7237249314,710.527652,14724.7796162
592.0,20.7230840405,493.730023,10231.6087599
992.0,20.7239308534,827.264775,17144.1779945
162.0,20.7175139053,135.18011,2800.59580865
582.0,20.7230479192,485.391681,10058.795065
804.0,20.7236377078,670.503477,13895.2711392
840.0,20.7237040825,700.521575,14517.4018237
164.0,20.7176063208,136.847846,2835.15979928
818.0,20.723664248,682.177155,14137.2103179
430.0,20.7222930015,358.648413,7432.01749872
270.0,20.7205805105,225.234472,4666.98901083
562.0,20.7229719787,468.714863,9713.16497193
542.0,20.722890344,452.038179,9367.53761471
374.0,20.7218603526,311.953564,6464.25818969
252.0,20.7202520333,210.225457,4355.92445285
710.0,20.7234330575,592.122794,12270.8170833
982.0,20.7239181024,818.926433,16971.3643294
708.0,20.7234280102,590.455058,12236.2528877
594.0,20.7230910274,495.397624,10266.1700569
894.0,20.7237934478,745.548756,15450.5984246
986.0,20.7239232214,822.26177,17040.4897894
186.0,20.7185023518,155.192266,3215.3513281
668.0,20.7233228305,557.101623,11544.9967828
782.0,20.7235942502,652.159057,13515.0796839
284.0,20.7208075965,236.908285,4908.93099151
506.0,20.7227272953,422.020081,8745.40705172
50.0,20.700375,41.790412,865.077199805
392.0,20.7220130428,326.962647,6775.32423564
940.0,20.7238614707,783.905196,16245.5426881
428.0,20.7222796218,356.980745,7397.4548175
126.0,20.7153261407,105.162012,2178.46537619
266.0,20.7205110185,221.899203,4597.86488075
510.0,20.7227464386,425.355418,8814.53247351
