BytesSend, SgAveragePower, SgTransferTime, SgTotalEnergy
196.0,64.341225,164.670000,10595.069521
200.0,64.341225,168.030000,10811.256037
84.0,64.341225,70.590000,4541.847073
214.0,64.341225,179.790000,11567.908843
232.0,64.341225,194.910000,12540.748165
222.0,64.341225,186.510000,12000.281875
190.0,64.341225,159.630000,10270.789747
52.0,64.341225,43.710000,2812.354945
192.0,64.341225,161.310000,10378.883005
192.0,64.341225,161.310000,10378.883005
162.0,64.341225,136.110000,8757.484135
182.0,64.341225,152.910000,9838.416715
204.0,64.341225,171.390000,11027.442553
40.0,64.341225,33.630000,2163.795397
164.0,64.341225,137.790000,8865.577393
218.0,64.341225,183.150000,11784.095359
230.0,64.341225,193.230000,12432.654907
70.0,64.341225,58.830000,3785.194267
162.0,64.341225,136.110000,8757.484135
142.0,64.341225,119.310000,7676.551555
174.0,64.341225,146.190000,9406.043683
52.0,64.341225,43.710000,2812.354945
110.0,64.341225,92.430000,5947.059427
182.0,64.341225,152.910000,9838.416715
108.0,64.341225,90.750000,5838.966169
194.0,64.341225,162.990000,10486.976263
94.0,64.341225,78.990000,5082.313363
186.0,64.341225,156.270000,10054.603231
186.0,64.341225,156.270000,10054.603231
68.0,64.341225,57.150000,3677.101009
182.0,64.341225,152.910000,9838.416715
84.0,64.341225,70.590000,4541.847073
106.0,64.341225,89.070000,5730.872911
50.0,64.341225,42.030000,2704.261687
192.0,64.341225,161.310000,10378.883005
140.0,64.341225,117.630000,7568.458297
228.0,64.341225,191.550000,12324.561649
126.0,64.341225,105.870000,6811.805491
66.0,64.341225,55.470000,3569.007751
110.0,64.341225,92.430000,5947.059427
