Throughput,Cons_Node0,Cons_Node1,Cons_Node2,Cons_Total
461.639,29.1494,51.3628,29.1494,12181.29903
463.673,29.3358,51.7356,29.3358,12291.70623
465.706,29.523,52.11,29.523,12402.86223
467.757,29.7111,52.4861,29.7111,12514.77053
469.79,29.8999,52.8639,29.8999,12627.43423
471.821,30.0896,53.2432,30.0896,12740.85663
473.871,30.2801,53.6243,30.2801,12855.04113
475.9,30.4715,54.0069,30.4715,12969.99103
477.947,30.6636,54.3912,30.6636,13085.70943
479.974,30.8566,54.7771,30.8566,13202.19973
482.017,31.0504,55.1647,31.0504,13319.46523
484.059,31.245,55.5539,31.245,13437.50913
486.098,31.4404,55.9448,31.4404,13556.33473
488.134,31.6366,56.3373,31.6366,13675.94523
490.168,31.8337,56.7314,31.8337,13796.34403
492.219,32.0316,57.1272,32.0316,13917.53443
494.246,32.2303,57.5246,32.2303,14039.51963
496.29,32.4298,57.9236,32.4298,14162.30283
498.33,32.6302,58.3243,32.6302,14285.88753
500.366,32.8313,58.7266,32.8313,14410.27673
502.398,33.0333,59.1306,33.0333,14535.47393
504.447,33.2361,59.5362,33.2361,14661.48233
506.469,33.4397,59.9434,33.4397,14788.30513
508.508,33.6442,60.3523,33.6442,14915.94583
510.563,33.8494,60.7628,33.8494,15044.40743
512.592,34.0555,61.175,34.0555,15173.69343
514.636,34.2624,61.5888,34.2624,15303.80703
516.674,34.4701,62.0042,34.4701,15434.75143
518.707,34.6787,62.4213,34.6786,15566.53003
520.732,34.888,62.84,34.888,15699.14603
522.774,35.0982,63.2603,35.0982,15832.60273
524.809,35.3092,63.6823,35.3092,15966.90343
526.859,35.521,64.106,35.521,16102.05143
528.903,35.7336,64.5312,35.7336,16238.04983
530.938,35.9471,64.9581,35.9471,16374.90213
532.966,36.1613,65.3867,36.1613,16512.61143
535.01,36.3764,65.8168,36.3764,16651.18103
537.045,36.5923,66.2487,36.5923,16790.61433
539.096,36.8091,66.6821,36.8091,16930.91463
541.113,37.0266,67.1172,37.0266,17072.08503
543.17,37.245,67.554,37.245,17214.12903
545.194,37.4642,67.9923,37.4642,17357.04973
547.233,37.6842,68.4323,37.6842,17500.85043
549.287,37.905,68.874,37.905,17645.53443
551.305,38.1266,69.3173,38.1266,17791.10493
553.364,38.3491,69.7622,38.3491,17937.56533
555.388,38.5724,70.2088,38.5724,18084.91893
557.426,38.7965,70.657,38.7965,18233.16893
559.479,39.0214,71.1068,39.0214,18382.31853
561.494,39.2472,71.5583,39.2472,18532.37123
563.551,39.4737,72.0115,39.4737,18683.33013
