Traffic, SG_AVG_PWR, SG_TR_TIME, SG_TOTAL_ENERGY
35.0,62.318089,45.657885,2845.312152
316.0,62.318089,180.726110,11262.505860
704.0,62.318089,367.226008,22884.823149
241.0,62.318089,144.675872,9015.923909
74.0,62.318089,64.404009,4013.534767
562.0,62.318089,298.970891,18631.294656
59.0,62.318089,57.193961,3564.218377
762.0,62.318089,395.104859,24622.179857
551.0,62.318089,293.683522,18301.795970
706.0,62.318089,368.187348,22944.732001
167.0,62.318089,109.106304,6799.296385
397.0,62.318089,219.660367,13688.814366
623.0,62.318089,328.291751,20458.514643
861.0,62.318089,442.691173,27587.668032
259.0,62.318089,153.327929,9555.103577
741.0,62.318089,385.010792,23993.136911
112.0,62.318089,82.669463,5151.802955
86.0,62.318089,70.172047,4372.987879
569.0,62.318089,302.335580,18840.975638
543.0,62.318089,289.838164,18062.160562
619.0,62.318089,326.369072,20338.696939
854.0,62.318089,439.326484,27377.987050
28.0,62.318089,42.293196,2635.631170
835.0,62.318089,430.193757,26808.852955
636.0,62.318089,334.540459,20847.922181
182.0,62.318089,116.316351,7248.612775
603.0,62.318089,318.678354,19859.426123
338.0,62.318089,191.300846,11921.503232
694.0,62.318089,362.419310,22585.278889
636.0,62.318089,334.540459,20847.922181
5.0,62.318089,31.237790,1946.679372
44.0,62.318089,49.983914,3114.901986
671.0,62.318089,351.363903,21896.327091
263.0,62.318089,155.250608,9674.921281
3.0,62.318089,30.276450,1886.770520
961.0,62.318089,490.758157,30583.110632
324.0,62.318089,184.571469,11502.141268
461.0,62.318089,250.423237,15605.897630
293.0,62.318089,169.670704,10573.554061
424.0,62.318089,232.638453,14497.583868
